125
24
88
[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]
[[0,1],
[0,5],
[1,2],
[1,5],
[2,3],
[2,4],
[2,6],
[3,4],
[3,6],
[4,7],
[5,6],
[5,8],
[5,10],
[6,7],
[6,8],
[7,9],
[8,9],
[8,10],
[8,11],
[9,12],
[9,13],
[10,11],
[10,14],
[10,18],
[11,12],
[11,15],
[12,13],
[12,16],
[13,17],
[14,15],
[14,19],
[15,16],
[15,20],
[15,21],
[16,17],
[16,21],
[16,22],
[16,23],
[17,23],
[18,19],
[19,20],
[20,21],
[21,22],
[22,23],
[1,0],
[5,0],
[2,1],
[5,1],
[3,2],
[4,2],
[6,2],
[4,3],
[6,3],
[7,4],
[6,5],
[8,5],
[10,5],
[7,6],
[8,6],
[9,7],
[9,8],
[10,8],
[11,8],
[12,9],
[13,9],
[11,10],
[14,10],
[18,10],
[12,11],
[15,11],
[13,12],
[16,12],
[17,13],
[15,14],
[19,14],
[16,15],
[20,15],
[21,15],
[17,16],
[21,16],
[22,16],
[23,16],
[23,17],
[19,18],
[20,19],
[21,20],
[22,21],
[23,22]]
[[0,6,8,4,3,2,1,7,6,2,5,4,2,7,4,3,3,7,5,6,4,6,6,6],
[5,0,7,5,2,4,4,2,2,5,4,7,5,7,2,1,6,5,6,1,5,6,8,3],
[4,2,0,7,4,6,2,5,1,2,4,4,3,6,4,4,5,4,3,2,6,3,6,6],
[3,3,4,0,7,2,6,5,3,5,6,5,7,8,3,1,3,2,3,2,4,5,2,3],
[6,3,6,7,0,5,3,8,4,3,6,3,4,5,4,7,2,4,1,6,5,6,3,7],
[3,4,4,3,3,0,2,4,3,6,1,4,5,6,8,8,0,0,1,2,5,7,6,3],
[2,9,4,5,6,4,0,2,7,4,7,3,5,3,2,8,8,9,6,6,7,2,3,2],
[6,3,5,4,6,5,4,0,5,5,2,3,3,6,5,6,4,3,7,8,2,5,5,5],
[3,0,2,4,7,6,4,7,0,7,8,5,3,3,3,2,3,3,4,7,4,6,6,0],
[2,3,6,7,2,5,8,3,4,0,2,6,4,7,2,3,2,3,6,7,4,7,2,3],
[5,4,8,4,6,4,3,3,6,3,0,1,4,4,7,5,3,7,2,5,4,3,4,3],
[5,4,3,4,8,4,6,7,5,5,4,0,4,2,5,4,4,1,2,3,6,8,4,4],
[1,9,0,3,4,3,4,5,2,1,2,6,0,6,7,5,3,7,2,1,9,3,2,9],
[6,6,7,6,4,2,4,8,1,2,5,1,5,0,5,3,5,3,0,4,6,3,4,4],
[7,7,6,5,2,4,4,1,4,5,6,7,3,3,0,6,8,4,3,3,2,2,3,5],
[1,5,6,7,7,5,3,7,5,7,4,2,6,4,7,0,4,6,5,2,7,7,5,8],
[1,5,5,3,7,3,6,5,6,6,1,5,6,5,3,0,0,3,5,0,7,4,4,7],
[6,6,8,2,6,6,7,1,2,2,4,3,2,3,3,3,4,0,4,4,5,5,4,0],
[8,3,1,5,3,3,5,7,6,4,6,6,6,7,3,6,6,4,0,5,3,2,2,4],
[8,3,6,5,5,3,7,2,4,7,3,8,3,3,5,6,8,2,6,0,4,8,4,4],
[4,6,5,6,4,7,7,5,2,4,6,2,8,6,5,4,6,4,0,6,0,2,6,1],
[8,5,3,1,6,4,3,6,1,4,1,3,7,7,6,4,5,4,2,2,4,0,3,4],
[2,4,5,5,7,3,6,5,3,5,7,3,6,2,7,3,7,3,0,5,6,3,0,2],
[4,1,6,5,7,5,7,3,4,5,7,3,5,4,5,5,2,2,2,6,5,6,5,0]]
