100
14
42
[0,1,2,3,4,5,6,7,8,9,10,11,12,13]
[[0,1],
[0,2],
[0,3],
[1,2],
[1,7],
[2,5],
[3,4],
[3,10],
[4,5],
[4,6],
[5,9],
[5,13],
[6,7],
[7,8],
[8,9],
[8,11],
[8,12],
[10,11],
[10,12],
[11,13],
[12,13],
[1,0],
[2,0],
[3,0],
[2,1],
[7,1],
[5,2],
[4,3],
[10,3],
[5,4],
[6,4],
[9,5],
[13,5],
[7,6],
[8,7],
[9,8],
[11,8],
[12,8],
[11,10],
[12,10],
[13,11],
[13,12]]
[[0,8,10,5,2,8,6,6,10,10,5,7,6,10],
[4,0,3,8,6,3,9,5,9,7,6,2,4,7],
[8,5,0,4,6,6,5,8,6,6,5,7,4,6],
[8,9,8,0,6,4,7,5,3,11,4,9,7,8],
[9,8,6,12,0,8,7,10,3,6,10,4,6,7],
[10,6,9,5,10,0,5,6,6,6,3,5,2,2],
[6,5,9,6,5,8,0,7,7,8,4,5,8,6],
[6,7,6,7,6,4,4,0,5,8,4,5,4,5],
[8,4,6,7,6,7,6,8,0,10,6,6,8,9],
[5,3,6,9,8,4,8,7,4,0,8,11,8,8],
[6,4,7,7,7,10,8,5,10,5,0,10,9,6],
[4,7,6,7,5,10,9,5,7,6,8,0,7,7],
[10,9,10,5,4,5,5,4,6,4,9,0,0,3],
[8,7,8,11,8,8,9,8,9,6,13,5,5,0]]
